group,label,energy_DRAM,energy_Global buffer,energy_Local (spads/RF),energy_NoC,energy_Compute,energy_Standby,energy_ECC decode,energy_Reconstruction,energy_Recon overhead,energy_total_uJ,energy_saving_pct,boundary,status,hypothesised_rating,saving_vs_conventional_ecc_pct,saving_vs_embedded_only_pct,reconstruction_events_codewords,reconstruction_uJ,recon_overhead_uJ,weights_reconstructed,idle_engines_cycle_weighted,idle_engines_declared,pe_shapes_differing_from_reference,reducible_energy_uJ,saving_ceiling_uJ,decode_site,dram_pj_per_bit,dram_uJ,dram_saving_uJ,unavailable_reason
baseline,"Baseline
external parity",6488.668032000001,602.8206645200002,961.4496728099996,1149.2368694154397,417.23686912,1842.4479911186434,0.0,0.0,0.0,11461.860098984085,0.0,Baseline external parity,reference,,0.0,-5.425680028826797,,,,,,,,,,controller (reference bar),20.0,,,
embedded,"Embedded
no ext. parity",5898.78912,602.8206645200002,961.4496728099996,1149.2368694154397,417.23686912,1842.4479911186434,0.0,0.0,0.0,10871.981186984083,5.146450112859827,Embedded no ext. parity,reference,,5.146450112859827,0.0,,,,,,,,,,controller (reference bar),20.0,1914.79808,0.0,
recon1,"R1
@ source",5198.552563809523,592.64469892,938.5252334999997,1101.30756327768,417.23686912,1835.406572144021,0.0,27.649848714423996,0.0,10111.323349485649,11.78287588432649,"R1 - reconstruct at chip ingress, before the filter GLB",evaluated,3/5,11.78287588432649,6.996496999177043,1557130.1587301588,27.649848714423996,0.0,12262400.0,1.0,1.0,1,1961.984,747.4224761904762,ondie,20.0,1214.5615238095238,747.4224761904762,
recon2,"R2
@ filter GLB",5198.552563809523,535.1270981132135,933.1723497199997,898.8615504275999,417.23686912,1786.032403556252,0.0,27.651569794650946,0.0,9796.63440454124,14.52840708281233,R2 - reconstruct at the filter-GLB output,evaluated,3/5,14.528407082812347,9.89099193558436,1557242.4126984128,27.651569794650946,0.0,12263284.0,1.0,1.0,3,1966.1027046032136,748.9915065155099,ondie,20.0,1214.5615238095238,747.4224761904762,
recon3,"R3
@ column edge",5198.552563809523,535.1270981000002,933.1723497199997,887.6146538675999,417.23686912,1786.032403556252,0.0,45.68268324119718,0.0,9803.418621414574,14.469217589878857,"R3 - reconstruct after the array multicast, at the column edge",evaluated,4/5,14.469217589878857,9.828591010153612,1614474.1587301588,45.68268324119718,0.0,12713984.0,5.542930995314302,8.0,3,1995.62580806,760.2384030704761,ondie,20.0,1214.5615238095238,747.4224761904762,
recon4,"R4
@ spad input",5198.552563809523,555.0016926600002,933.9993589658034,877.4146042305407,417.23686912,1836.4839617375126,0.0,190.50906401618167,0.0,10009.198114539562,12.67387642057574,R4 - reconstruct at the PE filter-spad input,evaluated,4/5,12.67387642057574,7.935840373578307,1614555.4285714286,190.50906401618167,0.0,12714624.0,43.8981011788424,168.0,4,2005.70219566,764.0770269180952,ondie,20.0,1214.5615238095238,747.4224761904762,
recon5,"R5a
@ spad output",5169.342232380953,565.2365959800004,944.5252343723268,934.9197387120726,417.23686912,1834.5791834762254,0.0,3697.1375132699,0.0,13562.977367311478,-18.331381208479623,R5a - reconstruct on every filter-spad read,evaluated,3/5,-18.331381208479623,-24.751663326543007,230360497.26984128,3697.1375132699,0.0,1814088916.0,44.010538239169016,168.0,4,1978.2886202623258,753.6337600999336,ondie,20.0,1185.3511923809524,729.4468876190476,
