,base_DRAM,embe_DRAM,recon_DRAM,base_Global buffer,embe_Global buffer,recon_Global buffer,base_Local (spads/RF/NoC),embe_Local (spads/RF/NoC),recon_Local (spads/RF/NoC),base_Compute,embe_Compute,recon_Compute,base_ECC decode,embe_ECC decode,recon_ECC decode,base_Reconstruction,embe_Reconstruction,recon_Reconstruction,base_total_uJ,base_saving_pct,embe_total_uJ,embe_saving_pct,recon_total_uJ,recon_saving_pct
resnet18,5180.471808,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,6923.922968560001,2555.7209492199995,2555.7209492199995,2555.7209492199995,0.0,0.0,0.0,0.0,0.0,22.098816638976,16751.055925390003,0.0,15255.262261390002,8.92954850525445,14578.919247588976,12.967162711866198
resnet50,13914.591451428572,9967.376896,9967.376896,3695.2529052100026,3695.2529052100026,3695.2529052100026,18073.977235500017,18073.977235500017,16378.199413018585,5760.965455459996,5760.965455459996,5760.965455459996,0.0,0.0,0.0,0.0,0.0,58.316045049856,41444.787047598584,0.0,37497.57249217002,9.524031456345208,35860.11071473844,13.474978955607241
densenet121,15491.688374857144,10717.297152,10717.297152,3325.598432469994,3325.598432469994,3325.598432469994,13215.294747560005,13215.294747560005,11981.424822497147,3992.851977219997,3992.851977219997,3992.851977219997,0.0,0.0,0.0,0.0,0.0,70.53673159338666,36025.43353210714,0.0,31251.042309249995,13.252834885670527,30087.709115780526,16.48203459101944
squeezenet1_1,592.8257097142857,489.665024,489.665024,247.16358035,247.16358035,247.16358035,1387.1610904799995,1387.1610904799995,1266.6912317042852,491.89572201,491.89572201,491.89572201,0.0,0.0,0.0,0.0,0.0,1.5240932842666668,2719.046102554285,0.0,2615.8854168399994,3.7940028165530624,2496.9396513485517,8.168543041513177
mobilenet_v2,1858.3827017142855,1419.776,1419.776,309.10999721999997,309.10999721999997,309.10999721999997,1392.8366674099998,1392.8366674099998,1257.5286384371427,423.73981760000004,423.73981760000004,423.73981760000004,0.0,0.0,0.0,0.0,0.0,6.4799639890773335,3984.069183944285,0.0,3545.46248223,11.009013183853861,3416.63441724622,14.242593200560256
efficientnet_b0,2138.512384,1593.908224,1593.908224,314.53742773000005,314.53742773000005,314.53742773000005,1627.4582830300003,1627.4582830300003,1476.1793223000002,543.5473970500002,543.5473970500002,543.5473970500002,0.0,0.0,0.0,0.0,0.0,8.04596767744,4624.055491810001,0.0,4079.4513318100003,11.777630285029836,3936.2183387574405,14.875192442453125
convnext_tiny,4605.211648,3090.936832,3090.936832,355.89543360000005,355.89543360000005,355.89543360000005,1572.8199675900003,1572.8199675900003,1421.0472142557144,450.27847810000014,450.27847810000014,450.27847810000014,0.0,0.0,0.0,0.0,0.0,22.371856697344,6984.205527290001,0.0,5469.9307112900005,21.68141830997299,5340.529814653059,23.53418303935162
xception,8684.517522285712,6244.64384,6244.64384,3353.1493410999983,3353.1493410999983,3353.1493410999983,18224.670964380053,18224.670964380053,16628.628667290053,6414.232623150005,6414.232623150005,6414.232623150005,0.0,0.0,0.0,0.0,0.0,36.046630243712,36676.57045091577,0.0,34236.696768630056,6.652404116003688,32676.701101783772,10.905788899987316
