,base_DRAM,embe_DRAM,patch_DRAM,base_Global buffer,embe_Global buffer,patch_Global buffer,base_Local (spads/RF/NoC),embe_Local (spads/RF/NoC),patch_Local (spads/RF/NoC),base_Compute,embe_Compute,patch_Compute,base_ECC decode,embe_ECC decode,patch_ECC decode,base_Reconstruction,embe_Reconstruction,patch_Reconstruction,base_total_uJ,base_saving_pct,embe_total_uJ,embe_saving_pct,patch_total_uJ,patch_saving_pct
simple_weight_stationary,3509.101989647059,3098.640384,3098.640384,9710.889938509474,9285.055533870527,9189.251303329473,1480.6743652778935,1445.8833028684198,1296.0212431315779,2059.9709857999997,2059.9709857999997,2059.9709857999997,85.51283450980392,68.14304,0.0,0.0,0.0,8.82840339730171,16846.15011374423,0.0,15957.693246538945,5.27394604230921,15652.712319658354,7.084335507091246
simple_output_stationary,4976.787034352941,4338.312192,4338.312192,3437.5562212615805,3218.7060459226327,3127.943398337369,5229.386849228949,5194.5957868194755,5125.013662000529,2059.9709857999997,2059.9709857999997,2059.9709857999997,133.01559215686274,105.9968,0.0,0.0,0.0,13.732620517416157,15836.716682800334,0.0,14917.581810542106,5.8038221600343745,14664.972858655314,7.398906273404554
eyeriss_like,4300.593182117647,3684.678144,3684.678144,1456.3305716247366,1392.4983691699997,1392.4983691699997,8192.039380836843,8137.006147745265,7107.723450254738,2555.7209492199995,2555.7209492199995,2555.7209492199995,256.6312658823529,204.50304,0.0,0.0,0.0,26.49478704053308,16761.31534968158,0.0,15974.406650135263,4.694790851013166,14767.11569968527,11.897632186928538
simba_like,4606.680335058823,3806.416384,3806.416384,36551.98239966264,34196.14783862579,32910.41188367421,36.30896473105264,36.30896473105264,29.392971448947375,2059.9709857999997,2059.9709857999997,2059.9709857999997,333.4433129411765,265.71264,0.0,0.0,0.0,34.42491520310815,43588.3859981937,0.0,40364.55681315685,7.396073773345124,38840.61714012627,10.892279558743414
