,base_DRAM,emb_DRAM,base_Global buffer,emb_Global buffer,base_Local (spads/RF/NoC),emb_Local (spads/RF/NoC),base_Compute,emb_Compute,base_ECC decode,emb_ECC decode,base_total_uJ,emb_total_uJ,saving_pct
resnet18,4406.986752,3098.640384,9237.1534186,9237.1534186,1370.9522729999987,1370.9522729999987,2059.9709857999997,2059.9709857999997,605.715911111111,340.7152,17680.779340511108,16107.432261399998,8.898629686001325
resnet50,12024.8832,8613.617664,20444.700204020006,20444.700204020006,3019.89240556,3019.89240556,4643.47318187,4643.47318187,1579.2896,888.3504,41712.238591450005,37610.033855450005,9.834535077771761
densenet121,7838.799872,6202.51136,16469.06420662999,16469.06420662999,1973.8587705500086,1973.8587705500086,3218.3322775600063,3218.3322775600063,757.5409777777778,426.1168,30257.59610451778,28289.88341474,6.503202313167165
squeezenet1_1,1226.691584,1001.434112,982.5919451299999,982.5919451299999,379.54236648999984,379.54236648999984,396.47948091999996,396.47948091999996,104.28586666666666,58.6608,3089.5912432066666,2818.70870454,8.76758500860843
mobilenet_v2,2133.378048,1783.84128,1298.38732503,1298.38732503,268.86945947999976,268.86945947999976,341.5442245799998,341.5442245799998,161.82257777777775,91.0252,4204.001634867777,3783.667489089999,9.998429645972246
efficientnet_b0,2578.921472,2051.088896,1570.639109110001,1570.639109110001,368.8617535499999,368.8617535499999,438.11194166999996,438.11194166999996,244.36693333333335,137.4564,5200.901209663334,4566.158100330001,12.204483102927876
convnext_tiny,7457.103872,4670.58176,2052.0771322100004,2052.0771322100004,325.41047490999995,325.41047490999995,362.93500677999975,362.93500677999975,1290.0565333333334,725.6568,11487.583019233336,8136.6611739,29.16994671309868
xception,14913.520896,11734.420992,22195.761899729987,22195.761899729987,3761.811754759999,3761.811754759999,5170.02183043,5170.02183043,1471.8055111111112,827.8906,47512.9218920311,43689.90707691999,8.046263338210553
