,base_DRAM,emb_DRAM,base_Global buffer,emb_Global buffer,base_Local (spads/RF/NoC),emb_Local (spads/RF/NoC),base_Compute,emb_Compute,base_ECC decode,emb_ECC decode,base_total_uJ,emb_total_uJ,saving_pct
gpt2,27698.940416,15839.865344,95.55798019,95.55798019,341.93707530999995,341.93707530999995,140.27679883999997,140.27679883999997,5490.312533333334,3088.3008,33767.02480367333,19505.93799834,42.23376767200984
bert_base,24303.721984,13899.668992,81.99245833,81.99245833,300.02076470000003,300.02076470000003,123.06585785,123.06585785,4816.6912,2709.3888,29625.492264880002,17114.13687288,42.23172151921263
tinyllama,231815.41376,132511.072256,525.33379568,525.33379568,2864.6105396200005,2864.6105396200005,1174.63588524,1174.63588524,45974.232177777776,25860.5056,282354.22615831776,162936.15807653998,42.29370663459428
