,base_DRAM,embe_DRAM,patch_DRAM,base_Global buffer,embe_Global buffer,patch_Global buffer,base_Local (spads/RF/NoC),embe_Local (spads/RF/NoC),patch_Local (spads/RF/NoC),base_Compute,embe_Compute,patch_Compute,base_ECC decode,embe_ECC decode,patch_ECC decode,base_Reconstruction,embe_Reconstruction,patch_Reconstruction,base_total_uJ,base_saving_pct,embe_total_uJ,embe_saving_pct,patch_total_uJ,patch_saving_pct
simple_weight_stationary,3509.101989647059,3098.640384,3098.640384,9237.1534186,9237.1534186,9150.473400491428,1370.9522729999987,1370.9522729999987,1235.362790380951,2059.9709857999997,2059.9709857999997,2059.9709857999997,85.51283450980392,68.14304,0.0,0.0,0.0,8.82840339730171,16262.69150155686,0.0,15834.860101399998,2.630753956784491,15553.27596406968,4.362227109942196
simple_output_stationary,4976.787034352941,4338.312192,4338.312192,3173.324722130001,3173.324722130001,3091.206136219525,5159.804724410002,5159.804724410002,5096.849468621431,2059.9709857999997,2059.9709857999997,2059.9709857999997,133.01559215686274,105.9968,0.0,0.0,0.0,13.732620517416157,15502.903058849806,0.0,14837.409424340001,4.292703321329923,14600.071403158368,5.823629627717093
eyeriss_like,4300.593182117647,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,6691.109025080001,2555.7209492199995,2555.7209492199995,2555.7209492199995,256.6312658823529,204.50304,0.0,0.0,0.0,26.49478704053308,16127.80856539,0.0,15459.765301390002,4.1421824998196435,14350.501274510532,11.020141289955152
simba_like,4606.680335058823,3806.416384,3806.416384,33553.279861150004,33553.279861150004,32389.994949527147,32.85096809,32.85096809,26.593640834761906,2059.9709857999997,2059.9709857999997,2059.9709857999997,333.4433129411765,265.71264,0.0,0.0,0.0,34.42491520310815,40586.22546304,0.0,39718.23083904,2.1386433798591167,38317.40087536502,5.59013448969551
