,base_DRAM,embe_DRAM,patch_DRAM,base_Global buffer,embe_Global buffer,patch_Global buffer,base_Local (spads/RF/NoC),embe_Local (spads/RF/NoC),patch_Local (spads/RF/NoC),base_Compute,embe_Compute,patch_Compute,base_ECC decode,embe_ECC decode,patch_ECC decode,base_Reconstruction,embe_Reconstruction,patch_Reconstruction,base_total_uJ,base_saving_pct,embe_total_uJ,embe_saving_pct,patch_total_uJ,patch_saving_pct
resnet18,4406.986752,3098.640384,3098.640384,9237.1534186,9237.1534186,9042.123377855714,1370.9522729999987,1370.9522729999987,1065.8759371071417,2059.9709857999997,2059.9709857999997,2059.9709857999997,121.14318222222222,68.14304,0.0,0.0,0.0,13.156226515254042,17196206611.62222,0.0,15834860101.399998,7.916551254403645,15279766911.27811,11.144549164981914
resnet50,12024.8832,8613.617664,8613.617664,20444.700204020006,20444.700204020006,20315.072962220005,3019.89240556,3019.89240556,2359.996831107143,4643.47318187,4643.47318187,4643.47318187,315.85792,177.67008,0.0,0.0,0.0,34.3023706817792,40448806911.450005,0.0,36899353535.450005,8.775174466259084,35966463009.87893,11.081523149455961
densenet121,7838.799872,6202.51136,6202.51136,16469.06420662999,16469.06420662999,16386.169335838564,1973.8587705500086,1973.8587705500086,1567.4831194100084,3218.3322775600063,3218.3322775600063,3218.3322775600063,151.50819555555555,85.22336,0.0,0.0,0.0,16.45388624503751,29651563322.29556,0.0,27948989974.74,5.741934511342817,27390949979.05361,7.623926329517169
squeezenet1_1,1226.691584,1001.434112,1001.434112,982.5919451299999,982.5919451299999,977.5844387728571,379.54236648999984,379.54236648999984,270.3286998742856,396.47948091999996,396.47948091999996,396.47948091999996,20.857173333333332,11.73216,0.0,0.0,0.0,2.2651022683050663,3006162549.8733335,0.0,2771780064.54,7.796733591242741,2648091833.8354483,11.911222699949233
mobilenet_v2,2133.378048,1783.84128,1783.84128,1298.38732503,1298.38732503,1274.4245125071427,268.86945947999976,268.86945947999976,198.53863428428548,341.5442245799998,341.5442245799998,341.5442245799998,32.364515555555556,18.20504,0.0,0.0,0.0,3.5148069408007108,4074543572.6455545,0.0,3710847329.089999,8.926060970294436,3601863458.312229,11.600811376927297
efficientnet_b0,2578.921472,2051.088896,2051.088896,1570.639109110001,1570.639109110001,1557.218521437144,368.8617535499999,368.8617535499999,269.20677461999975,438.11194166999996,438.11194166999996,438.11194166999996,48.87338666666667,27.49128,0.0,0.0,0.0,5.307680826600533,5005407662.996668,0.0,4456192980.330001,10.972426616254067,4320933814.553744,13.674687348705152
convnext_tiny,7457.103872,4670.58176,4670.58176,2052.0771322100004,2052.0771322100004,2013.9098944828575,325.41047490999995,325.41047490999995,235.4964169857142,362.93500677999975,362.93500677999975,362.93500677999975,258.0113066666667,145.13136,0.0,0.0,0.0,28.02019174117973,10455537792.566668,0.0,7556135733.9,27.730778810134364,7310943269.989751,30.075875435241183
xception,14913.520896,11734.420992,11734.420992,22195.761899729987,22195.761899729987,22153.095790482846,3761.811754759999,3761.811754759999,2851.9472158314284,5170.02183043,5170.02183043,5170.02183043,294.3611022222222,165.57812,0.0,0.0,0.0,31.967802620633243,46335477483.14221,0.0,43027594596.91999,7.138985213707351,41941453631.36491,9.483065871881736
