,base_DRAM,embe_DRAM,recon_DRAM,base_Global buffer,embe_Global buffer,recon_Global buffer,base_Local (spads/RF/NoC),embe_Local (spads/RF/NoC),recon_Local (spads/RF/NoC),base_Compute,embe_Compute,recon_Compute,base_ECC decode,embe_ECC decode,recon_ECC decode,base_Reconstruction,embe_Reconstruction,recon_Reconstruction,base_total_uJ,base_saving_pct,embe_total_uJ,embe_saving_pct,recon_total_uJ,recon_saving_pct
resnet18,4095.475712,3098.640384,3098.640384,9237.1534186,9237.1534186,9172.143405018573,1370.9522729999987,1370.9522729999987,1269.2601610357133,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,7.363609588309333,16763.552389399996,0.0,15766.717061399997,5.946444433999104,15607.378545442594,6.896950104015424
resnet50,11212.67712,8613.617664,8613.617664,20444.700204020006,20444.700204020006,20401.49112342,3019.89240556,3019.89240556,2799.927214075714,4643.47318187,4643.47318187,4643.47318187,0.0,0.0,0.0,0.0,0.0,19.199218359552,39320.742911450005,0.0,36721.68345545,6.609894075127372,36477.708401725264,7.230368246416987
densenet121,7449.207369142857,6202.51136,6202.51136,16469.06420662999,16469.06420662999,16441.43258303285,1973.8587705500086,1973.8587705500086,1838.4002201700084,3218.3322775600063,3218.3322775600063,3218.3322775600063,0.0,0.0,0.0,0.0,0.0,9.209327186517333,29110.46262388286,0.0,27863.76661474,4.282638944116414,27709.885767949378,4.811249048252566
squeezenet1_1,1173.0588525714286,1001.434112,1001.434112,982.5919451299999,982.5919451299999,980.9227763442856,379.54236648999984,379.54236648999984,343.13781095142843,396.47948091999996,396.47948091999996,396.47948091999996,0.0,0.0,0.0,0.0,0.0,1.2677897239040001,2931.672645111428,0.0,2760.0479045399998,5.854157723155517,2723.2419699396182,7.109616263581435
mobilenet_v2,2050.155008,1783.84128,1783.84128,1298.38732503,1298.38732503,1290.3997208557143,268.86945947999976,268.86945947999976,245.42585108142836,341.5442245799998,341.5442245799998,341.5442245799998,0.0,0.0,0.0,0.0,0.0,1.9672560411093334,3958.956017089999,0.0,3692.6422890899994,6.726867559285286,3663.1783325582524,7.471103069974393
efficientnet_b0,2453.247049142857,2051.088896,2051.088896,1570.639109110001,1570.639109110001,1566.1655798857155,368.8617535499999,368.8617535499999,335.6434272399999,438.11194166999996,438.11194166999996,438.11194166999996,0.0,0.0,0.0,0.0,0.0,2.9707370408319997,4830.859853472858,0.0,4428.701700330001,8.324773753346413,4393.980581836547,9.043509538415677
convnext_tiny,6793.646226285714,4670.58176,4670.58176,2052.0771322100004,2052.0771322100004,2039.3547196342859,325.41047490999995,325.41047490999995,295.4391222685714,362.93500677999975,362.93500677999975,362.93500677999975,0.0,0.0,0.0,0.0,0.0,15.683049568384002,9534.068840185715,0.0,7411.004373899999,22.268188974439582,7383.993658251241,22.5514963021034
xception,14156.592347428572,11734.420992,11734.420992,22195.761899729987,22195.761899729987,22181.539863314272,3761.811754759999,3761.811754759999,3458.5235751171426,5170.02183043,5170.02183043,5170.02183043,0.0,0.0,0.0,0.0,0.0,17.892548263861336,45284.187832348565,0.0,42862.01647691999,5.348823665328731,42562.39880912528,6.010462268418964
