,base_DRAM,emb_DRAM,base_Global buffer (read),emb_Global buffer (read),base_Global buffer (write),emb_Global buffer (write),base_Local (read),emb_Local (read),base_Local (write),emb_Local (write),base_Compute,emb_Compute,base_ECC decode,emb_ECC decode,base_total_uJ,emb_total_uJ,saving_pct
distilbert,9523.298304,5446.434816,21.3976395274273,21.3976395274273,0.3341198725726977,0.3341198725726977,58.7981211302758,58.7981211302758,58.80189686972419,58.80189686972419,48.223774199999994,48.223774199999994,1887.4368,1061.6832,11598.2906556,6695.673567600001,42.27016923078118
gpt2,19044.237312,10890.510336,42.82316621686446,42.82316621686446,0.5199841831355425,0.5199841831355425,117.59624232059069,117.59624232059069,117.60379379940932,117.60379379940932,96.44754851999998,96.44754851999998,3774.8736,2123.3664,23194.101647040003,13388.867471040001,42.27468830314163
bert_base,19046.596608,10892.869632,42.7952790548546,42.7952790548546,0.6682397451453954,0.6682397451453954,117.5962422605516,117.5962422605516,117.60379373944838,117.60379373944838,96.44754839999999,96.44754839999999,3774.8736,2123.3664,23196.5813112,13391.347135200002,42.27016923078118
opt_125m,19046.596608,10892.869632,42.7952790548546,42.7952790548546,0.6682397451453954,0.6682397451453954,117.5962422605516,117.5962422605516,117.60379373944838,117.60379373944838,96.44754839999999,96.44754839999999,3774.8736,2123.3664,23196.5813112,13391.347135200002,42.27016923078118
tinyllama,5180.358656,2965.766144,11.525888828235294,11.525888828235294,0.7203680517647062,0.7203680517647062,31.941258684170933,31.941258684170933,31.94228455582905,31.94228455582905,26.195630559999998,26.195630559999998,1025.2743111111113,576.7168,6307.958397791111,3644.8083746799994,42.218890093563076
