,d_min,t,base_DRAM,embe_DRAM,patch_DRAM,base_Global buffer,embe_Global buffer,patch_Global buffer,base_Local (spads/RF/NoC),embe_Local (spads/RF/NoC),patch_Local (spads/RF/NoC),base_Compute,embe_Compute,patch_Compute,base_ECC decode,embe_ECC decode,patch_ECC decode,base_Reconstruction,embe_Reconstruction,patch_Reconstruction,base_total_uJ,base_saving_pct,embe_total_uJ,embe_saving_pct,patch_total_uJ,patch_saving_pct
K57,3.0,1.0,3960.219082105263,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,7156.736912040001,2555.7209492199995,2555.7209492199995,2555.7209492199995,229.61744842105264,204.50304,204.50304,0.0,0.0,20.627495192597557,15760.420647916317,0.0,15459.765301390002,1.9076606725345575,15014.764909622598,4.731191856813171
K51,5.0,2.0,4300.593182117647,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,6691.109025080001,2555.7209492199995,2555.7209492199995,2555.7209492199995,256.6312658823529,204.50304,204.50304,0.0,0.0,26.49478704053308,16127.80856539,0.0,15459.765301390002,4.1421824998196435,14555.004314510532,9.752126238989952
K45,7.0,3.0,4731.7337087999995,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,6225.481138120001,2555.7209492199995,2555.7209492199995,2555.7209492199995,290.848768,204.50304,204.50304,0.0,0.0,29.451241542123523,16593.16659419,0.0,15459.765301390002,6.83053042568049,14092.332882052124,15.071467510086523
K39,9.0,4.0,5295.532859076923,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,5759.8532511600015,2555.7209492199995,2555.7209492199995,2555.7209492199995,335.5947323076923,204.50304,204.50304,0.0,0.0,35.61691979687779,17201.711708774616,0.0,15459.765301390002,10.126587614510745,13632.870673346879,20.74701108731678
K36,11.0,5.0,5647.907328,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,5527.03930768,2555.7209492199995,2555.7209492199995,2555.7209492199995,363.56096,204.50304,204.50304,0.0,0.0,39.4829511172096,17582.05240539,0.0,15459.765301390002,12.070758606938199,13403.92276118721,23.763605908272297
K30,13.0,6.0,6564.080947200001,3684.678144,3684.678144,1392.4983691699997,1392.4983691699997,1392.4983691699997,7622.364799000001,7622.364799000001,5061.411420720001,2555.7209492199995,2555.7209492199995,2555.7209492199995,436.273152,204.50304,204.50304,0.0,0.0,45.91427106029569,18570.938216590002,0.0,15459.765301390002,16.752911882613954,12944.726194170296,30.295787734588636
