,external_DRAM,internal_DRAM,recon_DRAM,external_Global buffer,internal_Global buffer,recon_Global buffer,external_Local (spads/RF/NoC),internal_Local (spads/RF/NoC),recon_Local (spads/RF/NoC),external_Compute,internal_Compute,recon_Compute,external_ECC decode,internal_ECC decode,recon_ECC decode,external_Reconstruction,internal_Reconstruction,recon_Reconstruction,external_total_uJ,external_saving_pct,internal_total_uJ,internal_saving_pct,recon_total_uJ,recon_saving_pct
resnet50,14423.909458580647,9967.376896,9967.376896,3695.2529052100026,3695.2529052100026,3695.2529052100026,18073.977235500017,18073.977235500017,13418.9008600608,5760.965455459996,5760.965455459996,5760.965455459996,222.82662812903226,135.44363670588234,135.44363670588234,0.0,0.0,23.450726125287886,42176.931682879695,0.0,37633.01612887589,10.773461635779089,33001.39047956197,21.754880777736208
mobilenet_v2,1914.97711483871,1419.776,1419.776,309.10999721999997,309.10999721999997,309.10999721999997,1392.8366674099998,1392.8366674099998,1021.4028623864705,423.73981760000004,423.73981760000004,423.73981760000004,24.760055741935485,15.050229960784314,15.050229960784314,0.0,0.0,2.605798467294307,4065.423652810645,0.0,3560.5127121907844,12.419638978358092,3191.684705634549,21.491953158978475
efficientnet_b0,2208.783888516129,1593.908224,1593.908224,314.53742773000005,314.53742773000005,314.53742773000005,1627.4582830300003,1627.4582830300003,1212.1827045554903,543.5473970500002,543.5473970500002,543.5473970500002,30.743783225806453,18.687397647058823,18.687397647058823,0.0,0.0,3.2355380797043614,4725.0707795519365,0.0,4098.1387294570595,13.26820442157116,3686.0986890622535,21.988497928663943
convnext_tiny,4800.601946838709,3090.936832,3090.936832,355.89543360000005,355.89543360000005,355.89543360000005,1572.8199675900003,1572.8199675900003,1156.1888800056863,450.27847810000014,450.27847810000014,450.27847810000014,85.4832557419355,51.96041035294117,51.96041035294117,0.0,0.0,8.996431151582309,7265.079081870646,0.0,5521.891121642942,23.994067243915808,5114.256465210211,29.60494431543933
