,base_DRAM,emb_DRAM,base_Global buffer (read),emb_Global buffer (read),base_Global buffer (write),emb_Global buffer (write),base_Local (read),emb_Local (read),base_Local (write),emb_Local (write),base_Compute,emb_Compute,base_ECC decode,emb_ECC decode,base_total_uJ,emb_total_uJ,saving_pct
resnet18,4406.986752,3098.640384,6747.963804613113,6747.963804613113,2489.189613986886,2489.189613986886,915.7093865835765,915.7093865835765,455.24288641642335,455.24288641642335,2059.9709857999997,2059.9709857999997,605.715911111111,340.7152,17680.779340511108,16107.432261399998,8.898629686001325
resnet50,12024.8832,8613.617664,14664.178807789458,14664.178807789458,5780.521396230539,5780.521396230539,2034.7726165677461,2034.7726165677461,985.1197889922543,985.1197889922543,4643.47318187,4643.47318187,1579.2896,888.3504,41712.238591450005,37610.03385545,9.834535077771779
densenet121,7838.799872,6202.51136,11227.676386676265,11227.676386676265,5241.387819953772,5241.387819953772,1307.618329679783,1307.618329679783,666.2404408702159,666.2404408702159,3218.3322775600063,3218.3322775600063,757.5409777777778,426.1168,30257.596104517823,28289.883414740045,6.503202313167157
squeezenet1_1,1226.691584,1001.434112,684.1645430283678,684.1645430283678,298.42740210163214,298.42740210163214,293.4432925891881,293.4432925891881,86.09907390081185,86.09907390081185,396.47948091999996,396.47948091999996,104.28586666666666,58.6608,3089.5912432066666,2818.7087045399994,8.767585008608446
mobilenet_v2,2133.378048,1783.84128,881.9392782881006,881.9392782881006,416.4480467418997,416.4480467418997,194.67634755361914,194.67634755361914,74.19311192638074,74.19311192638074,341.5442245799998,341.5442245799998,161.82257777777775,91.0252,4204.001634867778,3783.667489090001,9.99842964597224
efficientnet_b0,2578.921472,2051.088896,1024.065539987597,1024.065539987597,546.5735691224035,546.5735691224035,270.15506059496397,270.15506059496397,98.70669295503585,98.70669295503585,438.11194166999996,438.11194166999996,244.36693333333335,137.4564,5200.901209663334,4566.15810033,12.204483102927894
convnext_tiny,7457.103872,4670.58176,1286.8930582147702,1286.8930582147702,765.1840739952294,765.1840739952294,207.90688281005143,207.90688281005143,117.5035920999486,117.5035920999486,362.93500677999975,362.93500677999975,1290.0565333333334,725.6568,11487.583019233336,8136.661173900001,29.169946713098664
xception,14913.520896,11734.420992,17478.470160408302,17478.470160408302,4717.29173932168,4717.29173932168,2622.091316331836,2622.091316331836,1139.7204384281576,1139.7204384281576,5170.02183043,5170.02183043,1471.8055111111112,827.8906,47512.92189203108,43689.90707691997,8.046263338210556
