group,label,energy_DRAM,energy_Global buffer,energy_Local (spads/RF),energy_NoC,energy_Compute,energy_Standby,energy_ECC decode,energy_Reconstruction,energy_Recon overhead,energy_total_uJ,energy_saving_pct,boundary,status,hypothesised_rating,saving_vs_conventional_ecc_pct,saving_vs_embedded_only_pct,reconstruction_events_codewords,reconstruction_uJ,recon_overhead_uJ,weights_reconstructed,idle_engines_cycle_weighted,idle_engines_declared,pe_shapes_differing_from_reference,reducible_energy_uJ,saving_ceiling_uJ,decode_site,dram_pj_per_bit,dram_uJ,dram_saving_uJ,unavailable_reason
baseline,"Baseline
external parity",273.556096,154.98783797000002,81.58307590000001,55.23286620912001,40.437841920000004,72.0401490089165,0.0,0.0,0.0,677.8378670080365,0.0,Baseline external parity,reference,,0.0,-3.8085622763833116,,,,,,,,,,controller (reference bar),20.0,,,
embedded,"Embedded
no ext. parity",248.68736,154.98783797000002,81.58307590000001,55.23286620912001,40.437841920000004,72.0401490089165,0.0,0.0,0.0,652.9691310080365,3.6688325055916584,Embedded no ext. parity,reference,,3.6688325055916584,0.0,,,,,,,,,,controller (reference bar),20.0,53.20704,0.0,
recon1,"R1
@ chip ingress",228.41801142857145,154.98783797000002,81.58307590000001,55.23286620912001,40.437841920000004,72.04014295347221,0.0,0.3445858686798808,0.0,633.0443622498436,6.608291884888429,"R1 - reconstruct at chip ingress, before the weight GLB",evaluated,control,6.608291884888429,3.0514105203462782,42227.80952380953,0.3445858686798808,0.0,332544.0,1.0,1.0,0,53.20704,20.26934857142857,ondie,20.0,32.937691428571426,20.26934857142857,
recon2,"R2
@ weight GLB",228.41801142857145,151.5546850898414,81.58307590000001,55.23286620912001,40.437841920000004,71.99586553535978,0.0,2.404578143467304,0.0,631.62692422636,6.817403546020636,R2 - reconstruct at the weight-GLB output,evaluated,3/5,6.817403546020655,3.2684863293199045,529075.8095238095,2.404578143467304,0.0,4166472.0,1.0,1.0,0,58.978072999841366,22.4678373332729,ondie,20.0,32.937691428571426,20.26934857142857,
recon3,"R3
@ cluster edge",228.41801142857145,99.1065509,78.30962723,20.632625609973335,40.437841920000004,72.40640809478103,0.0,2.407407394205196,0.0,541.718472577531,20.081408999962473,R3 - reconstruct at the destination-cluster boundary,evaluated,4/5,20.081408999962473,17.037659691317977,529066.6666666666,2.407407394205196,0.0,4166400.0,1.0,1.0,1,59.401497940000006,22.62914207238095,ondie,20.0,32.937691428571426,20.26934857142857,
recon4,"R4
@ SPad input",228.41801142857145,99.1065509,78.3096272258688,20.13947376235429,40.437841920000004,72.40640809478103,0.0,3.676163731197073,0.0,542.4940770627726,19.966985695660348,R4 - reconstruct at the PE weight-SPad input,evaluated,4/5,19.96698569566033,16.918878504212792,529066.6666666666,3.676163731197073,0.0,4166400.0,8.517400504098028,192.0,1,60.696021540000004,23.12229392,ondie,20.0,32.937691428571426,20.26934857142857,
recon5,"R5a
@ SPad output",228.41801142857145,99.1065509,72.1843619982231,20.13947376235429,40.437841920000004,72.25872207562405,0.0,95.90491418884277,0.0,628.4498762736156,7.286106772467367,R5a - reconstruct on every weight-SPad read,evaluated,3/5,7.286106772467367,3.755040410037258,22325936.126984127,95.90491418884277,0.0,175816747.0,8.517400504098028,192.0,1,70.9951269882231,27.04576266218023,ondie,20.0,32.937691428571426,20.26934857142857,
