group,label,baseline_DRAM,embedded_DRAM,recon_DRAM,baseline_Global buffer,embedded_Global buffer,recon_Global buffer,baseline_Local (spads/RF/NoC),embedded_Local (spads/RF/NoC),recon_Local (spads/RF/NoC),baseline_Compute,embedded_Compute,recon_Compute,baseline_ECC decode,embedded_ECC decode,recon_ECC decode,baseline_Reconstruction,embedded_Reconstruction,recon_Reconstruction,baseline_total_uJ,baseline_saving_pct,embedded_total_uJ,embedded_saving_pct,recon_total_uJ,recon_saving_pct
eyeriss_v2_like,Eyeriss v2,4783.088248470589,4253.264384,4253.264384,2621.2329345900002,2621.2329345900002,2621.2329345900002,5857.939291570002,5857.939291570002,5489.1923021166685,2120.2345022800005,2120.2345022800005,2120.2345022800005,0.0,0.0,0.0,0.0,0.0,22.79140723863793,15382.494976910592,0.0,14852.671112440003,3.4443298389881747,14506.715530225307,5.693351098114088
eyeriss_like,Eyeriss v1,3968.1618823529416,3427.646976,3427.646976,1808.3393312200008,1808.3393312200008,1808.3393312200008,6936.646267999997,6936.646267999997,6143.465102230473,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,23.251303263875513,14773.11846737294,0.0,14232.603561019996,3.6587732478196364,13462.673698514349,8.870468153035963
simple_weight_stationary,Weight stationary,2044.3594992941178,1818.650624,1818.650624,5698.698316780001,5698.698316780001,5591.019469033334,1082.5531754700005,1082.5531754700005,970.18811971381,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,9.709307638196707,10885.581977344118,0.0,10659.873102050002,2.0734663131826947,10449.538506185341,4.005697371682133
simba_like,Simba,4314.346405647058,3565.030912,3565.030912,210.81761795999995,210.81761795999995,210.81761795999995,28787.479971570006,28787.479971570006,27772.88828193191,2180.4798780600004,2180.4798780600004,2180.4798780600004,0.0,0.0,0.0,0.0,0.0,32.233267904977815,35493.12387323707,0.0,34743.80837959,2.1111567872223036,33761.449957856894,4.878899703403997
simple_output_stationary,Output stationary,1995.2212028235294,1819.350528,1819.350528,1536.7250339999998,1536.7250339999998,1438.0591768914285,4716.247636030001,4716.247636030001,4684.770042689049,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,7.565420208548643,10308.16485865353,0.0,10132.29418383,1.7061298226705188,10009.716153589026,2.8952651529817355
