group,label,energy_DRAM,energy_Global buffer,energy_Local (spads/RF),energy_NoC,energy_Compute,energy_ECC decode,energy_Reconstruction,energy_Recon overhead,energy_total_uJ,energy_saving_pct,boundary,status,hypothesised_rating,saving_vs_conventional_ecc_pct,saving_vs_embedded_only_pct,reconstruction_events_codewords,reconstruction_uJ,recon_overhead_uJ,weights_reconstructed,retention_amortization_x,reducible_energy_uJ,saving_ceiling_uJ,unavailable_reason
baseline,"Baseline
external parity",941.03552,540.36951759,504.4147003600001,507.48360336639996,1158.80946156,0.0,0.0,0.0,3652.1128028764,0.0,Baseline external parity,reference,,0.0,-6.570274455660422,,,,,,,,
embedded,"Embedded
no ext. parity",715.875328,540.36951759,504.4147003600001,507.48360336639996,1158.80946156,0.0,0.0,0.0,3426.9526108764,6.165203654790292,Embedded no ext. parity,reference,,6.165203654790292,0.0,,,,,,,,
recon1,"R1
@ NoC source",715.875328,540.36951759,504.4147003600001,507.48360336639996,1158.80946156,0.0,1.9577199782245585,0.0,3428.9103308546246,6.111598520340917,R1 - reconstruct at the source / weight-NoC ingress,evaluated,2/5,6.111598520340917,-0.05712713890502536,461157.5873015873,1.9577199782245585,0.0,3631616.0,1.0,0.0,0.0,
recon2,"R2
@ cluster edge",715.875328,540.36951759,504.4147003600001,499.93217516449516,1158.80946156,0.0,1.9577199782245585,0.0,3421.3589026527193,6.318367276113131,R2 - reconstruct at the destination-cluster boundary,evaluated,4/5,6.318367276113117,0.16322689160996304,461157.5873015873,1.9577199782245585,0.0,3631616.0,1.0,19.82249903,7.551428201904762,
recon3,"R3
@ SPad input",715.875328,540.36951759,504.4147003600001,494.23159629211426,1158.80946156,0.0,9.946752090125004,0.0,3423.6473558922394,6.255706198456447,R3 - reconstruct at the PE weight-SPad input,evaluated,4/5,6.255706198456447,0.09644880917437448,2343042.0317460317,9.946752090125004,0.0,18451456.0,1.0,34.78651857,13.252007074285714,
recon4,"R4a
@ SPad output",715.875328,540.36951759,426.54282509142865,494.23159629211426,1158.80946156,0.0,534.4826707221617,0.0,3870.311399255705,-5.974585347075038,R4a - reconstruct on every weight-SPad read,evaluated,3/5,-5.974585347075038,-12.937406457625963,125901937.77777778,534.4826707221617,0.0,991477760.0,1.0,239.20019115000002,91.12388234285716,
recon5,"R4b
@ SPad + reg",715.875328,540.36951759,426.54282509142865,494.23159629211426,1158.80946156,0.0,9.946752090125004,7.2487001301750515,3353.024180753843,8.189468350676211,R4b - SPad output with a reconstructed-weight reuse register,evaluated,5/5,8.189468350676211,2.157264442114664,2343042.0317460317,9.946752090125004,7.2487001301750515,18451456.0,53.73439147566457,239.20019115000002,91.12388234285716,
