group,label,energy_DRAM,energy_Global buffer,energy_Local (spads/RF),energy_NoC,energy_Compute,energy_Standby,energy_ECC decode,energy_Reconstruction,energy_Recon overhead,energy_total_uJ,energy_saving_pct,boundary,status,hypothesised_rating,saving_vs_conventional_ecc_pct,saving_vs_embedded_only_pct,reconstruction_events_codewords,reconstruction_uJ,recon_overhead_uJ,weights_reconstructed,idle_engines_cycle_weighted,idle_engines_declared,pe_shapes_differing_from_reference,reducible_energy_uJ,saving_ceiling_uJ,decode_site,dram_pj_per_bit,dram_uJ,dram_saving_uJ,unavailable_reason
baseline,"Baseline
external parity",3138.7642880000003,1236.7122709699988,871.4602571099997,579.5912365246402,417.23686912,553.4871515010456,0.0,0.0,0.0,6797.252073225685,-1.403029203761274e-14,Baseline external parity,reference,,0.0,-4.381851314063172,,,,,,,,,,controller (reference bar),20.0,,,
embedded,"Embedded
no ext. parity",2853.42208,1236.7122709699988,871.4602571099997,579.5912365246402,417.23686912,553.4871515010456,0.0,0.0,0.0,6511.909865225685,4.197905343601416,Embedded no ext. parity,reference,,4.197905343601445,0.0,,,,,,,,,,controller (reference bar),20.0,2059.264,0.0,
recon1,"R1
@ chip ingress",2068.9405561904764,1236.7122709699988,867.3829475099996,617.2183393599205,417.23686912,484.2026273172898,0.0,8.418088657817288,0.0,5700.111699125501,16.140939931031966,"R1 - reconstruct at chip ingress, before the weight GLB",evaluated,control,16.140939931031976,12.466360605438878,1634336.507936508,8.418088657817288,0.0,12870400.0,1.0,1.0,1,2059.264,784.4815238095238,ondie,20.0,1274.7824761904762,784.4815238095238,
recon2,"R2
@ weight GLB",2068.9405561904764,1141.6863980133471,867.3829475099996,617.2183393599205,417.23686912,483.9090805415573,0.0,61.44893589842069,0.0,5657.823126633721,16.76308211490588,R2 - reconstruct at the weight-GLB output,evaluated,3/5,16.76308211490588,13.115764134772197,14167374.73015873,61.44893589842069,0.0,111568076.0,1.0,1.0,1,2218.986617213348,845.3282351288944,ondie,20.0,1274.7824761904762,784.4815238095238,
recon3,"R3
@ cluster edge",2052.989561904762,1007.2499992399996,859.7655061399996,471.3432526277182,417.23686912,481.76318086124604,0.0,66.79577069649676,0.0,5357.144140590222,21.186619491544743,R3 - reconstruct at the destination-cluster boundary,evaluated,4/5,21.186619491544743,17.733134342077385,14953748.317460317,66.79577069649676,0.0,117760768.0,2.3575259664862562,8.0,3,2275.93209006,867.0217485942856,ondie,20.0,1272.348281904762,782.983558095238,
recon4,"R4
@ SPad input",2052.989561904762,1007.3159067599997,859.7655061444616,457.50795891809923,417.23686912,481.8850284413883,0.0,87.94155808782536,0.0,5364.642389376537,21.076306548821172,R4 - reconstruct at the PE weight-SPad input,evaluated,4/5,21.076306548821172,17.617987650223505,14953798.095238095,87.94155808782536,0.0,117761160.0,16.51092192828214,192.0,4,2312.39529434,880.9124930819048,ondie,20.0,1272.348281904762,782.983558095238,
recon5,"R5a
@ SPad output",2052.989561904762,1007.3159067599997,792.6465227345517,457.50795891809923,417.23686912,480.36120738715437,0.0,999.3810486977364,0.0,6207.439075522303,8.677227081612138,R5a - reconstruct on every weight-SPad read,evaluated,3/5,8.677227081612124,4.675598956448818,230358728.76190478,999.3810486977364,0.0,1814074989.0,16.51092192828214,192.0,4,2425.2500684845513,923.9047879941147,ondie,20.0,1272.348281904762,782.983558095238,
