group,label,energy_DRAM,energy_Global buffer,energy_Local (spads/RF),energy_NoC,energy_Compute,energy_Standby,energy_ECC decode,energy_Reconstruction,energy_Recon overhead,energy_total_uJ,energy_saving_pct,boundary,status,hypothesised_rating,saving_vs_conventional_ecc_pct,saving_vs_embedded_only_pct,reconstruction_events_codewords,reconstruction_uJ,recon_overhead_uJ,weights_reconstructed,idle_engines_cycle_weighted,idle_engines_declared,pe_shapes_differing_from_reference,reducible_energy_uJ,saving_ceiling_uJ,decode_site,dram_pj_per_bit,dram_uJ,dram_saving_uJ,unavailable_reason
baseline,"Baseline
external parity",893.3281280000001,176.29348256,107.40339370999999,163.09144014512,40.437841920000004,194.3229190619136,0.0,0.0,0.0,1574.8772053970338,0.0,Baseline external parity,reference,,0.0,-5.437070406947397,,,,,,,,,,controller (reference bar),20.0,,,
embedded,"Embedded
no ext. parity",812.11648,176.29348256,107.40339370999999,163.09144014512,40.437841920000004,194.3229190619136,0.0,0.0,0.0,1493.6655573970334,5.156697152113927,Embedded no ext. parity,reference,,5.156697152113912,0.0,,,,,,,,,,controller (reference bar),20.0,71.2704,0.0,
recon2,"R2
@ filter GLB",784.9658514285715,172.46290317177858,107.40339370999999,163.39494006223998,40.437841920000004,187.27061540339713,0.0,1.4375261338478802,0.0,1457.3730718298352,7.461161617205272,R2 - reconstruct at the filter-GLB output,evaluated,3/5,7.461161617205272,2.4297598205614612,56572.95238095238,1.4375261338478802,0.0,445512.0,1.0,1.0,1,71.42002813177857,27.207629764487073,ondie,20.0,44.11977142857143,27.150628571428566,
