# arch	model	K	arm	fingerprint	cycle_seconds	variant_slug	note
# grid A: arch x model, at env.sh's K and the reference arm
eyeriss_v2_like	distilgpt2	39	reference	7eec9b38d896	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__wrelax	
eyeriss_v2_like	gpt2	39	reference	7eec9b38d896	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__wrelax	
eyeriss_v2_like	bert_base	39	reference	7eec9b38d896	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__wrelax	
eyeriss_v2_like	gpt2_medium	39	reference	7eec9b38d896	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__wrelax	
eyeriss_v2_like	opt_125m	39	reference	7eec9b38d896	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__wrelax	
eyeriss_v2_like	distilbert	39	reference	7eec9b38d896	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__wrelax	
eyeriss_v2_like	tinyllama	39	reference	7eec9b38d896	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__wrelax	
eyeriss_v2_like_wglb	resnet18	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	resnet50	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	densenet121	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	squeezenet1_1	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	mobilenet_v2	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	efficientnet_b0	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	convnext_tiny	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	xception	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	distilgpt2	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	gpt2	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	bert_base	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	gpt2_medium	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	opt_125m	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	distilbert	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
eyeriss_v2_like_wglb	tinyllama	39	reference	f4a0194ce204	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons__wrelax	
simple_weight_stationary	resnet18	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	resnet50	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	densenet121	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	squeezenet1_1	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	mobilenet_v2	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	efficientnet_b0	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	convnext_tiny	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	xception	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	distilgpt2	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	gpt2	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	bert_base	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	gpt2_medium	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	opt_125m	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	distilbert	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_weight_stationary	tinyllama	39	reference	946dbf528944	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96__mcons	
simple_output_stationary	resnet18	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	resnet50	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	densenet121	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	squeezenet1_1	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	mobilenet_v2	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	efficientnet_b0	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	convnext_tiny	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	xception	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	distilgpt2	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	gpt2	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	bert_base	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	gpt2_medium	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	opt_125m	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	distilbert	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_output_stationary	tinyllama	39	reference	c81b2d039911	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	resnet18	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	resnet50	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	densenet121	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	squeezenet1_1	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	mobilenet_v2	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	efficientnet_b0	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	convnext_tiny	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	xception	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	distilgpt2	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	gpt2	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	bert_base	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	gpt2_medium	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	opt_125m	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	distilbert	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simple_input_stationary	tinyllama	39	reference	d045b529de51	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	resnet18	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	resnet50	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	densenet121	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	squeezenet1_1	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	mobilenet_v2	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	efficientnet_b0	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	convnext_tiny	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	xception	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	distilgpt2	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	gpt2	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	bert_base	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
