layer,level,dataspace,reads,energy_pJ
13,shared_glb,Outputs,351232.0,5104819.06
13,DRAM,Weights,1179648.0,75497472.0
13,DRAM,Inputs,65536.0,4194304.0
13,DRAM,Outputs,0.0,3211264.0
14,mac,Compute,,162868502.2
14,psum_spad,Outputs,684544.0,134841797.44
14,weights_spad,Weights,688128.0,292353355.28
14,ifmap_spad,Inputs,688128.0,29928759.36
14,shared_glb,Inputs,2752512.0,20863759.97
14,shared_glb,Outputs,351232.0,5104819.06
14,DRAM,Weights,1179648.0,75497472.0
14,DRAM,Inputs,65536.0,4194304.0
14,DRAM,Outputs,0.0,3211264.0
15,mac,Compute,,81434251.1
15,psum_spad,Outputs,342272.0,67420898.72
15,weights_spad,Weights,344064.0,155486265.02
15,ifmap_spad,Inputs,344064.0,15039346.07
15,shared_glb,Inputs,1548288.0,11635640.15
15,shared_glb,Outputs,175616.0,2552409.53
15,DRAM,Weights,1179648.0,75497472.0
15,DRAM,Inputs,20736.0,1327104.0
15,DRAM,Outputs,0.0,1605632.0
16,mac,Compute,,162868502.2
16,psum_spad,Outputs,687680.0,138032821.85
16,weights_spad,Weights,688128.0,310972530.03
16,ifmap_spad,Inputs,688128.0,34126876.9
16,shared_glb,Inputs,3096576.0,23271280.3
16,shared_glb,Outputs,3186176.0,43635339.19
16,DRAM,Weights,2359296.0,150994944.0
16,DRAM,Inputs,41472.0,2654208.0
16,DRAM,Outputs,0.0,1605632.0
17,mac,Compute,,9048250.12
17,psum_spad,Outputs,56896.0,7543785.78
17,weights_spad,Weights,57344.0,17276251.67
17,ifmap_spad,Inputs,57344.0,1770993.63
17,shared_glb,Inputs,100352.0,901715.09
17,shared_glb,Outputs,175616.0,2552409.53
17,DRAM,Weights,131072.0,8388608.0
17,DRAM,Inputs,25088.0,1605632.0
17,DRAM,Outputs,0.0,1605632.0
18,mac,Compute,,162868502.2
18,psum_spad,Outputs,687680.0,138032821.85
18,weights_spad,Weights,688128.0,310972530.03
18,ifmap_spad,Inputs,688128.0,34126876.9
18,shared_glb,Inputs,3096576.0,23271280.3
18,shared_glb,Outputs,3186176.0,43635339.19
18,DRAM,Weights,2359296.0,150994944.0
18,DRAM,Inputs,41472.0,2654208.0
18,DRAM,Outputs,0.0,1605632.0
19,mac,Compute,,162868502.2
19,psum_spad,Outputs,687680.0,138032821.85
19,weights_spad,Weights,688128.0,310972530.03
19,ifmap_spad,Inputs,688128.0,34126876.9
19,shared_glb,Inputs,3096576.0,23271280.3
19,shared_glb,Outputs,3186176.0,43635339.19
19,DRAM,Weights,2359296.0,150994944.0
19,DRAM,Inputs,41472.0,2654208.0
19,DRAM,Outputs,0.0,1605632.0
20,mac,Compute,,721320.96
20,psum_spad,Outputs,5110.0,588198.94
20,weights_spad,Weights,5120.0,2366791.68
20,ifmap_spad,Inputs,5120.0,138393.6
20,shared_glb,Inputs,512.0,6986.89
20,shared_glb,Outputs,0.0,6214.34
20,DRAM,Weights,512000.0,32768000.0
20,DRAM,Inputs,512.0,32768.0
20,DRAM,Outputs,0.0,64000.0
